,0
0,1
1,4
2,4
3,3
4,1
5,4
6,4
7,2
8,3
9,3
10,1
11,4
12,0
13,5
14,2
15,0
16,2
17,0
18,1
19,5
20,2
21,5
22,5
23,5
24,5
25,1
26,0
27,4
28,1
29,1
30,0
31,2
32,3
33,3
34,1
35,0
36,0
37,5
38,4
39,4
40,1
41,2
42,0
43,2
44,2
45,2
46,1
47,2
48,2
49,2
50,5
51,5
52,1
53,3
54,5
55,2
56,2
57,1
58,1
59,4
60,5
61,3
62,5
63,2
64,4
65,0
66,3
67,4
68,1
69,1
70,5
71,0
72,4
73,2
74,2
75,5
76,4
77,5
78,2
79,2
80,2
81,1
82,5
83,2
84,0
85,0
86,5
87,0
88,3
89,0
90,3
91,0
92,3
93,1
94,3
95,5
96,3
97,3
98,4
99,3
100,2
101,5
102,1
103,4
104,3
105,0
106,3
107,0
108,2
109,3
110,4
111,5
112,0
113,2
114,2
115,1
116,4
117,0
118,5
119,3
120,3
121,0
122,3
123,1
124,5
125,2
126,4
127,5
128,2
129,4
130,1
131,2
132,3
133,5
134,0
135,2
136,4
137,5
138,4
139,4
140,4
141,4
142,0
143,3
144,2
145,3
146,5
147,4
148,4
149,2
150,2
151,1
152,3
153,0
154,3
155,5
156,2
157,1
158,5
159,1
160,3
161,2
162,3
163,5
164,2
165,4
166,5
167,3
168,5
169,0
170,4
171,4
172,2
173,1
174,5
175,1
176,4
177,3
178,0
179,5
180,0
181,5
182,1
183,4
184,5
185,3
186,5
187,2
188,2
189,0
190,2
191,3
192,0
193,1
194,5
195,0
196,3
197,3
198,5
199,5
200,2
201,4
202,1
203,0
204,1
205,0
206,0
207,1
208,4
209,5
210,0
211,0
212,2
213,1
214,1
215,2
216,5
217,5
218,3
219,3
220,2
221,2
222,3
223,2
224,3
225,1
226,3
227,3
228,0
229,2
230,3
231,0
232,0
233,2
234,0
235,1
236,3
237,3
238,3
239,4
240,0
241,3
242,2
243,3
244,2
245,5
246,3
247,3
248,5
249,2
250,3
251,0
252,3
253,0
254,0
255,2
256,0
257,2
258,3
259,2
260,2
261,2
262,4
263,3
264,2
265,5
266,2
267,0
268,0
269,3
270,5
271,2
272,5
273,5
274,4
275,3
276,2
277,2
278,4
279,2
280,4
281,4
282,4
283,5
284,2
285,4
286,3
287,5
288,1
289,4
290,5
291,4
292,0
293,2
294,3
295,2
296,4
297,2
298,3
299,4
300,2
301,4
302,2
303,3
304,5
305,4
306,4
307,2
308,0
309,2
310,4
311,1
312,3
313,4
314,4
315,5
316,2
317,1
318,1
319,5
320,4
321,5
322,0
323,0
324,2
325,4
326,0
327,1
328,4
329,4
330,3
331,4
332,5
333,1
334,0
335,5
336,1
337,2
338,1
339,0
340,4
341,0
342,4
343,0
344,5
345,3
346,1
347,5
348,1
